asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0037LGBU2,"Oral-B 3d White Pulsar 35 Soft Manual Toothbrush 1 Count, 1.000 Count",https://m.media-amazon.com/images/I/51MfnklHnPL._AC_UL320_.jpg,https://www.amazon.com/dp/B0037LGBU2,4.2,0,6.0,18.72,159,False,0
B0C6JPSSF8,4 Pcs Ceramic Raised Cat Bowls Tilted Elevated Cat Food Bowls Anti Vomiting Ceramic Cat Bowls for Food and Water No Stress Cat Bowls for Indoor Cats Small Dogs,https://m.media-amazon.com/images/I/71-DLHwZgXL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C6JPSSF8,5.0,4,42.99,45.99,179,False,0
B08K8T5F5Z,CARMTEK RV Surge Protector 30 Amp - RV Circuit Analyzer with Integrated Smart 30 Amp Surge Voltage Protection with Grip Handles,https://m.media-amazon.com/images/I/715fVlImPfL._AC_UL320_.jpg,https://www.amazon.com/dp/B08K8T5F5Z,4.8,0,94.9,0.0,21,True,0
B099SDRKM5,"Campus Premium 28L - Black Ripstop, One Size",https://m.media-amazon.com/images/I/81CdJx3lm3L._AC_UL320_.jpg,https://www.amazon.com/dp/B099SDRKM5,4.3,0,100.0,0.0,109,False,0
B00NJ023YO,POWERTEC 71017 Quick Release Band Clamp | Woodworking Frame Clamping Strap Holder,https://m.media-amazon.com/images/I/61sTmabQlwL._AC_UL320_.jpg,https://www.amazon.com/dp/B00NJ023YO,4.5,0,10.89,0.0,146,False,50
B00CXG3K7Y,Fill-Rite SD1202G 12V DC Fuel Transfer Pump,https://m.media-amazon.com/images/I/71Pqc2kkILL._AC_UL320_.jpg,https://www.amazon.com/dp/B00CXG3K7Y,4.6,0,302.38,0.0,21,False,200
B014JESVVW,WonderWink Women's Wonderwork Short Sleeve Snap Jacket,https://m.media-amazon.com/images/I/71-+hTnAgAL._AC_UL320_.jpg,https://www.amazon.com/dp/B014JESVVW,4.4,0,24.98,0.0,159,False,0
B0BVFLZ144,"Outlet Plug Covers (12 Pack), Black Roses Print Child Proof Electrical Protector Plastic Socket Covers - Improve Baby Safety",https://m.media-amazon.com/images/I/71uA1LyRIdL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BVFLZ144,5.0,0,9.99,0.0,33,False,0
B0CC7PSJWD,"Disposable Guinea Pig Cage Liners, Bamboo Charcoal Odor Control Pee Pads Super Absorbent Rabbits Bedding Rapid-Dry Gel Technology Potty Training Pads for Ferrets Puppy Hamsters 18*13in 100 ct",https://m.media-amazon.com/images/I/71CF1ZD21qL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CC7PSJWD,0.0,0,26.99,0.0,184,False,0
B0CBBHTRT7,Cosmos 2 Pcs Acrylic Game Controller Wall Mount Stand Holder Controller Stand Hanger Compatible with PS5 PS4 Controller also for Switch Joy-Con & Gaming Headset Headphone Accessory (Solid Black),https://m.media-amazon.com/images/I/61kuKd2LcoL._AC_UY218_.jpg,https://www.amazon.com/dp/B0CBBHTRT7,5.0,0,14.99,0.0,261,False,0
B0BL6BWK33,"Rubber Sheet, Neoprene Economy Grade, Rubber Width 6 in, Rubber Length 24 in, Rubber Thickness 3/4 in, 60A, Adhesive Backing",https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_UL320_.gif,https://www.amazon.com/dp/B0BL6BWK33,0.0,0,33.4,0.0,140,False,0
B0BC1XX5H7,Sterling Silver Opal Hoop Earrings for Women 14K White Gold Plated Hypoallergenic Huggie Earrings with Opal Gemstone Earrings Jewelry for Gifts,https://m.media-amazon.com/images/I/51dvIz6sZqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BC1XX5H7,4.4,0,14.99,0.0,123,False,0
B099DVGVCV,"Metal Hotwheels Monster Trucks Roarin Rumble 1:64 Scale Double Pack, Shark Wreak Undead Great White VS Town Hauler Mecha Orca, Multicolor",https://m.media-amazon.com/images/I/81SRh8Rem-L._AC_UL320_.jpg,https://www.amazon.com/dp/B099DVGVCV,4.8,0,29.99,32.95,235,False,0
